1,菅野　孝憲 ,GK ,埼玉県 ,5/3/1984,179/75 ,8,0
21,阿波加　俊太 ,GK ,北海道 ,2/7/1995,188/77 ,0,0
25,ク　ソンユン ,GK ,大韓民国 ,6/27/1994,195/82 ,23,0
41,山本　透衣 ,GK ,北海道 ,5/31/2001,180/74 ,0,0
2,石川　直樹 ,DF ,千葉県 ,9/13/1985,180/74 ,9,1
3,進藤　亮佑 ,DF ,北海道 ,6/7/1996,183/74 ,26,5
5,福森　晃斗 ,DF ,神奈川県 ,12/16/1992,183/75 ,27,3
15,濱　大耀 ,DF ,北海道 ,6/14/1998,182/73 ,4,0
20,キム　ミンテ ,DF ,大韓民国 ,11/26/1993,187/78 ,26,1
32,田中　駿汰 ,DF ,大阪府 ,5/26/1997,183/68 ,0,0
7,ルーカス　フェルナンデス ,MF ,ブラジル ,4/24/1994,174/65 ,25,1
8,深井　一希 ,MF ,北海道 ,3/11/1995,177/72 ,22,0
10,宮澤　裕樹 ,MF ,北海道 ,6/28/1989,182/72 ,22,0
14,駒井　善成 ,MF ,京都府 ,6/6/1992,168/64 ,3,0
17,檀崎　竜孔 ,MF ,宮城県 ,5/31/2000,174/63 ,10,1
18,チャナティップ ,MF ,タイ ,10/5/1993,158/56 ,20,4
19,白井　康介 ,MF ,愛知県 ,5/1/1994,165/63 ,23,1
23,中野　嘉大 ,MF ,鹿児島県 ,2/24/1993,176/66 ,15,0
26,早坂　良太 ,MF ,奈良県 ,9/19/1985,183/73 ,18,2
27,荒野　拓馬 ,MF ,北海道 ,4/20/1993,180/72 ,22,0
30,金子　拓郎 ,MF ,埼玉県 ,7/30/1997,178/68 ,11,1
31,高嶺　朋樹 ,MF ,北海道 ,12/29/1997,177/74 ,2,0
40,本間　洋平 ,MF ,北海道 ,7/23/2001,174/67 ,0,0
4,菅　大輝 ,FW ,北海道 ,9/10/1998,171/69 ,24,0
9,鈴木　武蔵 ,FW ,ジャマイカ ,2/11/1994,185/74 ,26,14
11,アンデルソン　ロペス ,FW ,ブラジル ,9/15/1993,185/78 ,18,12
13,岩崎　悠人 ,FW ,滋賀県 ,6/11/1998,172/69 ,14,0
16,藤村　怜 ,FW ,北海道 ,5/26/1999,176/68 ,8,0
42,大和　蓮 ,FW ,北海道 ,6/25/2002,171/61 ,0,0
48,ジェイ ,FW ,イングランド ,5/7/1982,190/89 ,16,7
